device,useragent
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.1; x64) AppleWebKit/535.29 (KHTML, like Gecko) Chrome/53.0.2379.105 Safari/537.8 Edge/18.23654"
firefox,Mozilla/5.0 (Windows; U; Windows NT 10.5; Win64; x64; en-US) Gecko/20100101 Firefox/69.1
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.3; WOW64; en-US) AppleWebKit/533.35 (KHTML, like Gecko) Chrome/50.0.2986.208 Safari/602.3 Edge/14.80034"
chrome,"Mozilla/5.0 (Windows; Windows NT 10.5;; en-US) AppleWebKit/536.13 (KHTML, like Gecko) Chrome/49.0.1632.196 Safari/602"
firefox,Mozilla/5.0 (U; Linux i656 ; en-US) Gecko/20100101 Firefox/52.0
firefox,Mozilla/5.0 (Windows; Windows NT 10.3; Win64; x64) Gecko/20100101 Firefox/67.9
edge,"Mozilla/5.0 (Windows NT 10.1;) AppleWebKit/601.6 (KHTML, like Gecko) Chrome/49.0.2317.231 Safari/600.1 Edge/15.31799"
android,"Mozilla/5.0 (Linux; U; Android 5.0; SAMSUNG SM-G900S Build/LRX21T) AppleWebKit/603.2 (KHTML, like Gecko) Chrome/51.0.1754.368 Mobile Safari/535.0"
android,"Mozilla/5.0 (Android; Android 4.4.4; LG-D540 Build/KOT49H) AppleWebKit/603.41 (KHTML, like Gecko) Chrome/55.0.2273.240 Mobile Safari/535.7"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 8_5_5) AppleWebKit/533.40 (KHTML, like Gecko) Chrome/50.0.3850.216 Safari/602"
chrome,"Mozilla/5.0 (Windows; U; Windows NT 10.1; x64; en-US) AppleWebKit/600.22 (KHTML, like Gecko) Chrome/54.0.1315.283 Safari/603"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_3_4) AppleWebKit/603.26 (KHTML, like Gecko) Chrome/52.0.3011.292 Safari/600"
mobile,"Mozilla/5.0 (Linux; U; Android 6.0.1; Nexus 6 Build/MMB29K) AppleWebKit/600.20 (KHTML, like Gecko) Chrome/49.0.1693.225 Mobile Safari/533.1"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 6.2; WOW64 Trident/7.0)
mobile,"Mozilla/5.0 (Linux; Android 4.4; E:number:20-23:32 Build/24.0.A.1.34) AppleWebKit/602.44 (KHTML, like Gecko) Chrome/48.0.2181.148 Mobile Safari/534.0"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_4_6; like Mac OS X) AppleWebKit/533.19 (KHTML, like Gecko) Chrome/50.0.3687.281 Mobile Safari/534.2"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 10_9_8 like Mac OS X) AppleWebKit/536.27 (KHTML, like Gecko) Chrome/53.0.3881.364 Mobile Safari/603.3"
linux,Mozilla/5.0 (Linux i651 x86_64) Gecko/20100101 Firefox/46.7
edge,"Mozilla/5.0 (Windows; Windows NT 10.2; WOW64; en-US) AppleWebKit/533.17 (KHTML, like Gecko) Chrome/50.0.3620.209 Safari/534.5 Edge/12.54119"
chrome,"Mozilla/5.0 (Linux; U; Linux x86_64) AppleWebKit/533.33 (KHTML, like Gecko) Chrome/49.0.3328.331 Safari/602"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 8_9_6 like Mac OS X) AppleWebKit/600.9 (KHTML, like Gecko) Chrome/55.0.1702.193 Mobile Safari/602.1"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_5_7; like Mac OS X) AppleWebKit/534.41 (KHTML, like Gecko) Chrome/51.0.2051.350 Mobile Safari/536.1"
android,"Mozilla/5.0 (Android; Android 7.1.1; Nexus 8P Build/NPD90G) AppleWebKit/537.28 (KHTML, like Gecko) Chrome/50.0.1012.389 Mobile Safari/535.2"
edge,"Mozilla/5.0 (Windows NT 10.1; Win64; x64) AppleWebKit/600.22 (KHTML, like Gecko) Chrome/48.0.2757.189 Safari/603.6 Edge/18.73591"
windows,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 10.0;; en-US Trident/6.0)
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 7_5_6; en-US) Gecko/20130401 Firefox/51.7
linux,Mozilla/5.0 (Linux; Linux x86_64) Gecko/20130401 Firefox/62.6
android,"Mozilla/5.0 (Linux; U; Android 4.3.1; Ascend G320 Build/JLS36I) AppleWebKit/537.15 (KHTML, like Gecko) Chrome/48.0.3235.366 Mobile Safari/603.0"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_6_2; like Mac OS X) AppleWebKit/533.45 (KHTML, like Gecko) Chrome/50.0.1024.138 Mobile Safari/533.7"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; Windows NT 6.0; WOW64; en-US Trident/4.0)
android,"Mozilla/5.0 (Linux; Android 5.1; SM-G9350H Build/LMY47X) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/47.0.3385.269 Mobile Safari/534.8"
firefox,Mozilla/5.0 (Linux x86_64; en-US) Gecko/20100101 Firefox/46.3
linux,Mozilla/5.0 (Linux; Linux x86_64; en-US) Gecko/20100101 Firefox/55.6
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; Windows NT 6.0; WOW64; en-US Trident/7.0)
windows,Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.2; WOW64 Trident/7.0)
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_5) Gecko/20100101 Firefox/46.3
windows,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/602.36 (KHTML, like Gecko) Chrome/52.0.1696.191 Safari/534.8 Edge/14.26620"
mobile,"Mozilla/5.0 (Android; Android 5.0.2; SAMSUNG SM-A700T Build/LMY47X) AppleWebKit/537.10 (KHTML, like Gecko) Chrome/52.0.3980.288 Mobile Safari/534.8"
chrome,"Mozilla/5.0 (Linux i644 ) AppleWebKit/537.2 (KHTML, like Gecko) Chrome/48.0.1183.178 Safari/603"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; Windows NT 6.1; Trident/5.0)
android,"Mozilla/5.0 (Android; Android 5.0.1; Lenovo A7000-a Build/LRX21M;) AppleWebKit/537.40 (KHTML, like Gecko) Chrome/50.0.1088.189 Mobile Safari/600.8"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_5) AppleWebKit/601.11 (KHTML, like Gecko) Chrome/51.0.2045.313 Safari/534"
linux,Mozilla/5.0 (Linux; U; Linux x86_64; en-US) Gecko/20100101 Firefox/67.9
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_9_4) AppleWebKit/600.21 (KHTML, like Gecko) Chrome/50.0.3568.134 Safari/603"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.3;) AppleWebKit/534.12 (KHTML, like Gecko) Chrome/54.0.1162.271 Safari/602.3 Edge/12.90087"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_1_4; like Mac OS X) AppleWebKit/536.39 (KHTML, like Gecko) Chrome/54.0.1346.156 Mobile Safari/533.7"
android,"Mozilla/5.0 (Android; Android 5.0; LG-D726 Build/LRX22G) AppleWebKit/603.41 (KHTML, like Gecko) Chrome/49.0.3503.400 Mobile Safari/600.7"
linux,Mozilla/5.0 (Linux; U; Linux i550 ) Gecko/20100101 Firefox/62.8
linux,"Mozilla/5.0 (Linux; Linux i671 x86_64) AppleWebKit/602.47 (KHTML, like Gecko) Chrome/49.0.3383.232 Safari/536"
android,"Mozilla/5.0 (Linux; U; Android 4.4.4; LG-D957 Build/KOT49H) AppleWebKit/601.16 (KHTML, like Gecko) Chrome/49.0.2200.342 Mobile Safari/601.5"
android,"Mozilla/5.0 (Linux; U; Android 7.1.1; Pixel XL Build/NRD90M) AppleWebKit/603.45 (KHTML, like Gecko) Chrome/48.0.3115.245 Mobile Safari/536.1"
android,"Mozilla/5.0 (Linux; Android 4.4.1; Nokia 3410 Build/IMM76D) AppleWebKit/600.10 (KHTML, like Gecko) Chrome/55.0.1499.248 Mobile Safari/602.1"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.3; x64; en-US Trident/6.0)
windows,"Mozilla/5.0 (Windows NT 10.4; x64) AppleWebKit/537.45 (KHTML, like Gecko) Chrome/49.0.2136.193 Safari/602.8 Edge/13.54747"
windows,Mozilla/5.0 (Windows; Windows NT 10.4; WOW64) Gecko/20100101 Firefox/67.6
android,"Mozilla/5.0 (Android; Android 6.0.1; Nexus 5P Build/MMB29K) AppleWebKit/536.25 (KHTML, like Gecko) Chrome/55.0.3982.396 Mobile Safari/533.3"
android,"Mozilla/5.0 (Linux; U; Android 7.0; Xperia V Build/NDE63X) AppleWebKit/534.44 (KHTML, like Gecko) Chrome/50.0.3618.125 Mobile Safari/601.7"
linux,"Mozilla/5.0 (Linux; Linux i560 ; en-US) AppleWebKit/600.37 (KHTML, like Gecko) Chrome/49.0.3255.380 Safari/533"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 8_4_3) Gecko/20100101 Firefox/53.1
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_0_2; en-US) AppleWebKit/601.41 (KHTML, like Gecko) Chrome/53.0.3402.147 Safari/601"
firefox,Mozilla/5.0 (U; Linux i643 x86_64; en-US) Gecko/20100101 Firefox/46.2
windows,Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 10.5; WOW64; en-US Trident/6.0)
chrome,"Mozilla/5.0 (U; Linux i683 ; en-US) AppleWebKit/600.44 (KHTML, like Gecko) Chrome/49.0.3095.294 Safari/535"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/602.38 (KHTML, like Gecko) Chrome/53.0.1360.333 Safari/600"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 6.1; Win64; x64 Trident/7.0)
android,"Mozilla/5.0 (Linux; Android 4.3.1; Ascend G320 Build/JLS36I) AppleWebKit/534.20 (KHTML, like Gecko) Chrome/48.0.2669.102 Mobile Safari/600.6"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 7_7_9; en-US) Gecko/20100101 Firefox/72.6
firefox,Mozilla/5.0 (Linux x86_64) Gecko/20100101 Firefox/56.8
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 9_3_0) AppleWebKit/537.25 (KHTML, like Gecko) Chrome/53.0.1693.314 Safari/603"
android,"Mozilla/5.0 (Android; Android 5.0; SM-N910F Build/LRX22C) AppleWebKit/601.44 (KHTML, like Gecko) Chrome/47.0.2228.262 Mobile Safari/533.2"
android,"Mozilla/5.0 (Linux; U; Android 5.1; SAMSUNG SM-G925FG Build/LRX22G) AppleWebKit/533.38 (KHTML, like Gecko) Chrome/54.0.3930.307 Mobile Safari/601.0"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_6_8; like Mac OS X) AppleWebKit/600.33 (KHTML, like Gecko) Chrome/50.0.1736.247 Mobile Safari/601.6"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_3_1; en-US) Gecko/20130401 Firefox/51.5
windows,"Mozilla/5.0 (Windows NT 6.2;) AppleWebKit/534.41 (KHTML, like Gecko) Chrome/53.0.1048.227 Safari/537.6 Edge/18.44216"
linux,"Mozilla/5.0 (Linux x86_64; en-US) AppleWebKit/533.36 (KHTML, like Gecko) Chrome/50.0.1062.350 Safari/601"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 7_9_5; en-US) AppleWebKit/536.4 (KHTML, like Gecko) Chrome/52.0.2404.354 Safari/600"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_3_5; like Mac OS X) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/53.0.2764.290 Mobile Safari/536.4"
edge,"Mozilla/5.0 (Windows NT 10.3;) AppleWebKit/535.18 (KHTML, like Gecko) Chrome/48.0.3917.273 Safari/600.6 Edge/18.90254"
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_2; en-US) AppleWebKit/535.24 (KHTML, like Gecko) Chrome/49.0.2533.148 Safari/535"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_5_1) Gecko/20100101 Firefox/73.0
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_5; en-US) Gecko/20100101 Firefox/47.1
linux,Mozilla/5.0 (U; Linux i544 x86_64; en-US) Gecko/20130401 Firefox/47.3
edge,"Mozilla/5.0 (Windows; Windows NT 10.2; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/48.0.2146.127 Safari/602.2 Edge/13.25038"
windows,"Mozilla/5.0 (Windows; U; Windows NT 10.5; x64; en-US) AppleWebKit/536.48 (KHTML, like Gecko) Chrome/48.0.3403.356 Safari/601.2 Edge/8.86296"
firefox,Mozilla/5.0 (Linux i565 ) Gecko/20100101 Firefox/67.7
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.3; Trident/4.0)
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 10_5_1 like Mac OS X) AppleWebKit/603.16 (KHTML, like Gecko) Chrome/55.0.2336.400 Mobile Safari/533.8"
mobile,"Mozilla/5.0 (Linux; U; Android 5.0.1; SM-A700I Build/LRX22G) AppleWebKit/602.20 (KHTML, like Gecko) Chrome/49.0.1391.288 Mobile Safari/536.0"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 6.3; Win64; x64; en-US Trident/4.0)
chrome,"Mozilla/5.0 (Windows; U; Windows NT 10.3; Win64; x64; en-US) AppleWebKit/534.39 (KHTML, like Gecko) Chrome/48.0.3805.308 Safari/600"
firefox,Mozilla/5.0 (Linux x86_64; en-US) Gecko/20130401 Firefox/61.6
chrome,"Mozilla/5.0 (Windows; Windows NT 10.1; Win64; x64; en-US) AppleWebKit/601.34 (KHTML, like Gecko) Chrome/47.0.1386.256 Safari/603"
android,"Mozilla/5.0 (Android; Android 5.1; SAMSUNG SM-G925X Build/LMY47X) AppleWebKit/533.34 (KHTML, like Gecko) Chrome/53.0.2403.396 Mobile Safari/536.2"
windows,Mozilla/5.0 (Windows; U; Windows NT 6.0; Win64; x64) Gecko/20100101 Firefox/52.8
windows,Mozilla/5.0 (Windows NT 10.5;) Gecko/20100101 Firefox/59.2
android,"Mozilla/5.0 (Linux; U; Android 7.1; Xperia V Build/NDE63X) AppleWebKit/534.44 (KHTML, like Gecko) Chrome/49.0.3033.257 Mobile Safari/535.1"
windows,Mozilla/5.0 (compatible; MSIE 8.0; Windows; Windows NT 6.2; Win64; x64 Trident/4.0)
firefox,Mozilla/5.0 (Windows; U; Windows NT 6.1; Win64; x64; en-US) Gecko/20100101 Firefox/71.1
android,"Mozilla/5.0 (Android; Android 5.0; LG-D328 Build/LRX22G) AppleWebKit/602.49 (KHTML, like Gecko) Chrome/47.0.3281.224 Mobile Safari/603.6"
edge,"Mozilla/5.0 (Windows NT 10.2; Win64; x64) AppleWebKit/534.31 (KHTML, like Gecko) Chrome/53.0.1776.191 Safari/603.0 Edge/9.43251"
linux,"Mozilla/5.0 (U; Linux x86_64) AppleWebKit/533.28 (KHTML, like Gecko) Chrome/53.0.1350.289 Safari/536"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.2;; en-US Trident/4.0)
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_6) Gecko/20100101 Firefox/64.6
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_9; like Mac OS X) AppleWebKit/537.39 (KHTML, like Gecko) Chrome/52.0.3980.123 Mobile Safari/601.5"
mobile,"Mozilla/5.0 (Android; Android 7.1; SAMSUNG GT-I9300 Build/KTU84P) AppleWebKit/533.9 (KHTML, like Gecko) Chrome/49.0.3397.179 Mobile Safari/602.8"
android,"Mozilla/5.0 (Linux; U; Android 6.0; HTC One809d Build/MRA58K) AppleWebKit/602.22 (KHTML, like Gecko) Chrome/54.0.1787.389 Mobile Safari/533.6"
linux,Mozilla/5.0 (Linux; U; Linux i655 ; en-US) Gecko/20100101 Firefox/55.0
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2; like Mac OS X) AppleWebKit/535.29 (KHTML, like Gecko) Chrome/48.0.2877.299 Mobile Safari/537.6"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_4_1; like Mac OS X) AppleWebKit/603.44 (KHTML, like Gecko) Chrome/54.0.1298.346 Mobile Safari/602.0"
chrome,"Mozilla/5.0 (Windows NT 6.3; WOW64; en-US) AppleWebKit/537.25 (KHTML, like Gecko) Chrome/54.0.3649.342 Safari/600"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_5_0; en-US) AppleWebKit/600.39 (KHTML, like Gecko) Chrome/48.0.1843.237 Safari/600"
linux,Mozilla/5.0 (Linux; Linux i563 ) Gecko/20130401 Firefox/47.3
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_4; like Mac OS X) AppleWebKit/601.24 (KHTML, like Gecko) Chrome/53.0.2608.189 Mobile Safari/602.6"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 6.0; Win64; x64; en-US Trident/4.0)
windows,Mozilla/5.0 (Windows; Windows NT 6.0; Win64; x64) Gecko/20100101 Firefox/51.7
linux,Mozilla/5.0 (Linux x86_64) Gecko/20100101 Firefox/72.2
chrome,"Mozilla/5.0 (Windows; U; Windows NT 10.4; Win64; x64) AppleWebKit/533.17 (KHTML, like Gecko) Chrome/53.0.2637.257 Safari/535"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_7_2; like Mac OS X) AppleWebKit/601.13 (KHTML, like Gecko) Chrome/49.0.3783.251 Mobile Safari/536.2"
mobile,"Mozilla/5.0 (Android; Android 4.4.4; Nexus_S_Build/GRJ22) AppleWebKit/534.33 (KHTML, like Gecko) Chrome/53.0.2124.368 Mobile Safari/535.0"
android,"Mozilla/5.0 (Linux; U; Android 5.0.2; HTC Butterfly S 919 Build/LRX22G) AppleWebKit/602.19 (KHTML, like Gecko) Chrome/49.0.3072.290 Mobile Safari/536.2"
android,"Mozilla/5.0 (Linux; Android 4.4.1; LG-D955 Build/KOT49I) AppleWebKit/537.30 (KHTML, like Gecko) Chrome/50.0.2606.259 Mobile Safari/535.6"
windows,Mozilla/5.0 (compatible; MSIE 9.0; Windows; Windows NT 10.4; WOW64; en-US Trident/5.0)
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 9_9_1; en-US) AppleWebKit/537.12 (KHTML, like Gecko) Chrome/51.0.1916.339 Safari/601"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_9_3; like Mac OS X) AppleWebKit/601.38 (KHTML, like Gecko) Chrome/48.0.3778.281 Mobile Safari/536.8"
mobile,"Mozilla/5.0 (Android; Android 4.3.1; Ascend G330 Build/JLS36I) AppleWebKit/536.34 (KHTML, like Gecko) Chrome/50.0.2370.167 Mobile Safari/535.0"
linux,"Mozilla/5.0 (Linux; Linux i681 x86_64; en-US) AppleWebKit/602.34 (KHTML, like Gecko) Chrome/52.0.2698.390 Safari/537"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_5; like Mac OS X) AppleWebKit/602.18 (KHTML, like Gecko) Chrome/51.0.1000.393 Mobile Safari/602.9"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; U; Windows NT 6.1; Trident/4.0)
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.5; Win64; x64) AppleWebKit/533.14 (KHTML, like Gecko) Chrome/49.0.3112.356 Safari/534.2 Edge/8.47198"
linux,Mozilla/5.0 (Linux; Linux i646 ; en-US) Gecko/20100101 Firefox/53.5
android,"Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9700 Build/KTU84P) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/55.0.3379.392 Mobile Safari/602.8"
mobile,"Mozilla/5.0 (Android; Android 5.0; HTC Butterfly S 901s Build/LRX22G) AppleWebKit/602.16 (KHTML, like Gecko) Chrome/49.0.2099.351 Mobile Safari/534.0"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_4_9) AppleWebKit/603.43 (KHTML, like Gecko) Chrome/53.0.3991.230 Safari/535"
firefox,Mozilla/5.0 (Windows NT 10.2; x64; en-US) Gecko/20130401 Firefox/46.8
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.3; Win64; x64; en-US) AppleWebKit/602.16 (KHTML, like Gecko) Chrome/53.0.2666.125 Safari/534.5 Edge/13.78493"
linux,Mozilla/5.0 (Linux; U; Linux i652 x86_64; en-US) Gecko/20100101 Firefox/74.1
linux,"Mozilla/5.0 (Linux i582 x86_64; en-US) AppleWebKit/603.50 (KHTML, like Gecko) Chrome/51.0.3006.113 Safari/536"
linux,"Mozilla/5.0 (Linux; Linux i582 ; en-US) AppleWebKit/535.40 (KHTML, like Gecko) Chrome/54.0.1551.203 Safari/603"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_3; like Mac OS X) AppleWebKit/537.13 (KHTML, like Gecko) Chrome/52.0.2608.255 Mobile Safari/536.3"
windows,Mozilla/5.0 (compatible; MSIE 9.0; Windows; Windows NT 10.4; WOW64 Trident/5.0)
android,"Mozilla/5.0 (Android; Android 4.3.1; Nokia 3315 Build/IMM76D) AppleWebKit/534.14 (KHTML, like Gecko) Chrome/54.0.2216.312 Mobile Safari/533.3"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_3; like Mac OS X) AppleWebKit/603.14 (KHTML, like Gecko) Chrome/48.0.2811.329 Mobile Safari/603.7"
chrome,"Mozilla/5.0 (U; Linux x86_64) AppleWebKit/536.20 (KHTML, like Gecko) Chrome/54.0.1916.301 Safari/601"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_4_9; like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/50.0.3371.108 Mobile Safari/603.6"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_4_8; like Mac OS X) AppleWebKit/537.5 (KHTML, like Gecko) Chrome/53.0.3859.137 Mobile Safari/603.5"
android,"Mozilla/5.0 (Linux; Android 5.0.1; HTC Butterfly S 919d Build/LRX22G) AppleWebKit/534.48 (KHTML, like Gecko) Chrome/47.0.2882.202 Mobile Safari/600.7"
windows,"Mozilla/5.0 (Windows; Windows NT 10.2; WOW64; en-US) AppleWebKit/536.10 (KHTML, like Gecko) Chrome/53.0.3571.119 Safari/603.4 Edge/13.68062"
linux,Mozilla/5.0 (Linux; U; Linux i651 ) Gecko/20100101 Firefox/54.8
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 8_6_7) Gecko/20100101 Firefox/61.3
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 8_9_2; en-US) AppleWebKit/535.15 (KHTML, like Gecko) Chrome/48.0.3495.211 Safari/536"
edge,"Mozilla/5.0 (Windows NT 10.2; WOW64) AppleWebKit/536.29 (KHTML, like Gecko) Chrome/48.0.3432.180 Safari/534.0 Edge/17.42832"
windows,Mozilla/5.0 (Windows; U; Windows NT 10.2; Win64; x64) Gecko/20100101 Firefox/63.1
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; U; Windows NT 6.3; WOW64; en-US Trident/5.0)
android,"Mozilla/5.0 (Linux; Android 5.1.1; SM-G928FQ Build/LRX22G) AppleWebKit/533.8 (KHTML, like Gecko) Chrome/51.0.1525.226 Mobile Safari/534.8"
windows,"Mozilla/5.0 (Windows; Windows NT 6.0; Win64; x64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/53.0.2903.249 Safari/533"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_4_6; like Mac OS X) AppleWebKit/602.29 (KHTML, like Gecko) Chrome/53.0.1745.131 Mobile Safari/603.3"
firefox,Mozilla/5.0 (Windows NT 10.1; WOW64) Gecko/20100101 Firefox/48.2
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2; like Mac OS X) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/54.0.3466.200 Mobile Safari/600.5"
windows,"Mozilla/5.0 (Windows; U; Windows NT 10.5; x64) AppleWebKit/533.26 (KHTML, like Gecko) Chrome/49.0.1466.215 Safari/603"
mobile,"Mozilla/5.0 (Android; Android 4.4; XT1052 Build/[KXB20.9|KXC21.5]) AppleWebKit/602.3 (KHTML, like Gecko) Chrome/50.0.2658.181 Mobile Safari/537.4"
linux,Mozilla/5.0 (Linux x86_64; en-US) Gecko/20130401 Firefox/53.4
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_5_9) Gecko/20100101 Firefox/59.9
firefox,Mozilla/5.0 (Linux; Linux i543 x86_64; en-US) Gecko/20100101 Firefox/53.6
chrome,"Mozilla/5.0 (Windows NT 10.0;; en-US) AppleWebKit/600.20 (KHTML, like Gecko) Chrome/52.0.1500.279 Safari/602"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_6; like Mac OS X) AppleWebKit/536.21 (KHTML, like Gecko) Chrome/55.0.3799.327 Mobile Safari/600.0"
linux,"Mozilla/5.0 (Linux; Linux i581 x86_64) AppleWebKit/600.20 (KHTML, like Gecko) Chrome/54.0.2202.299 Safari/533"
firefox,Mozilla/5.0 (Linux; U; Linux x86_64) Gecko/20100101 Firefox/45.9
windows,"Mozilla/5.0 (Windows; Windows NT 10.0;) AppleWebKit/603.28 (KHTML, like Gecko) Chrome/47.0.2119.188 Safari/601.4 Edge/16.18616"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_4_2; en-US) Gecko/20100101 Firefox/46.8
